Payment_ID,Order_ID,Payment_Method,Payment_Status,Amount
191,76018,NetBanking,Success,3298
192,27965,Cash,FAILED,4074
193,82241,Card,FAILED,-100
194,75033,Cash,Success,-100
195,53726,upi,Pending,1037
196,9284,NetBanking,Success,2488
197,88195,UPI,Success,3472
198,96865,UPI,Success,4249
199,65093,Cash,FAILED,-100
200,60634,NetBanking,Success,1599
201,76763,,Pending,0
202,99695,Cash,Success,2716
203,13086,UPI,Success,0
204,53709,Card,Success,1341
205,31205,Card,FAILED,0
206,1232,Cash,Pending,-100
207,27107,Cash,FAILED,-100
208,33236,UPI,FAILED,1837
209,57298,upi,FAILED,-100
210,83827,NetBanking,FAILED,326
211,2207,Card,Success,4616
212,16632,NetBanking,Success,560
213,61499,upi,FAILED,-100
214,67549,Card,FAILED,3837
215,49688,NetBanking,Success,3800
216,71420,UPI,Success,1043
217,8076,Cash,Success,519
218,92621,Cash,FAILED,-100
219,62001,UPI,Success,200
220,43328,UPI,Success,0
221,68577,Cash,Success,-100
222,35514,NetBanking,Success,4918
223,89703,NetBanking,Success,-100
224,33706,NetBanking,Success,848
225,19164,Cash,Pending,4473
226,14741,upi,FAILED,-100
227,90720,NetBanking,FAILED,-100
228,35,Card,Success,3817
229,28938,NetBanking,FAILED,1756
230,18239,Card,FAILED,0
231,22416,Cash,Success,842
232,30010,CARD,FAILED,4673
233,31366,upi,FAILED,0
234,25724,Card,FAILED,4102
235,37830,Card,FAILED,-100
236,4755,,Success,-100
237,32368,,Success,0
238,82019,,Success,261
239,6418,Card,Pending,0
240,46637,NetBanking,Pending,2369
241,91424,UPI,Success,3526
242,6807,UPI,Success,0
243,75343,Card,FAILED,4519
244,2059,,Success,2155
245,10997,upi,FAILED,0
246,66268,,Success,404
247,11836,,Success,2481
248,57836,Card,FAILED,-100
249,86102,Cash,FAILED,1714
250,93876,upi,FAILED,4017
251,86956,,Pending,3471
252,13095,UPI,Success,1342
253,80199,NetBanking,Success,3496
254,17219,Card,Success,2557
255,70053,UPI,Pending,828
256,4499,Cash,FAILED,156
257,15409,UPI,Success,-100
258,68757,Card,Success,2285
259,4176,UPI,FAILED,3721
260,89668,,Success,-100
261,64657,UPI,Success,-100
262,88173,Card,Pending,1103
263,1698,NetBanking,Pending,0
264,1180,NetBanking,FAILED,-100
265,54830,Cash,FAILED,1029
266,55571,UPI,FAILED,3594
267,25644,Cash,FAILED,2086
268,65138,Card,FAILED,1932
269,21364,upi,FAILED,886
270,85447,Cash,FAILED,-100
271,33064,Card,Success,-100
272,23874,Card,Success,0
273,29147,,Success,308
274,37221,upi,FAILED,1279
275,13216,UPI,Success,3981
276,9989,UPI,FAILED,4737
277,99407,Card,Success,-100
278,45237,Card,Success,4820
279,31283,Card,FAILED,0
280,98904,,FAILED,3668
281,34081,Cash,Pending,2365
282,38347,UPI,FAILED,0
283,92480,NetBanking,Success,3328
284,58031,NetBanking,Pending,2862
285,46737,NetBanking,Success,-100
286,4622,Card,Success,1341
287,28760,NetBanking,Pending,2605
288,95293,CARD,Pending,4467
289,73647,Cash,Pending,4700
290,33338,CARD,FAILED,-100
291,3450,UPI,FAILED,0
292,46481,NetBanking,Pending,0
293,93590,Card,Success,3832
294,8753,NetBanking,FAILED,4035
295,80083,Cash,Pending,703
296,44852,upi,Pending,4370
297,10073,Card,FAILED,-100
298,61486,UPI,Success,953
299,84321,CARD,FAILED,0
300,98883,,FAILED,4047
301,18545,,Pending,3578
302,71372,NetBanking,Success,420
303,5470,,Success,1352
304,47209,Card,FAILED,1653
305,22968,,Success,0
306,61660,Cash,Pending,2206
307,11683,CARD,FAILED,364
308,80143,UPI,Success,0
309,92447,UPI,FAILED,3293
310,92970,NetBanking,Success,4328
311,93934,NetBanking,Success,0
312,72018,Cash,FAILED,-100
313,59790,CARD,FAILED,2313
314,16990,CARD,FAILED,-100
315,82779,upi,FAILED,2330
316,10790,Cash,Success,-100
317,35321,Card,Success,1126
318,38373,NetBanking,FAILED,0
319,78876,,FAILED,522
320,25423,CARD,FAILED,0
321,84554,,FAILED,0
322,19200,NetBanking,FAILED,4065
323,90937,upi,Pending,-100
324,9963,,FAILED,-100
325,76833,,Pending,-100
326,92067,upi,FAILED,0
327,39221,upi,FAILED,1524
328,23719,NetBanking,Pending,4635
329,48207,UPI,FAILED,4524
330,41799,NetBanking,FAILED,515
331,42462,,Pending,4094
332,57362,,Success,4273
333,5401,upi,FAILED,1150
334,26938,CARD,FAILED,1895
335,16458,UPI,Success,0
336,58814,,FAILED,0
337,10501,NetBanking,Success,975
338,50699,Cash,FAILED,1432
339,65025,NetBanking,Success,0
340,2166,UPI,Success,3756
341,27122,Card,Success,-100
342,81566,Card,FAILED,2253
343,80891,Cash,Pending,4982
344,34795,UPI,Success,-100
345,53234,UPI,Success,-100
346,25601,Card,Success,195
347,43135,NetBanking,FAILED,3195
348,91809,Card,Success,2641
349,55298,CARD,Pending,3681
350,67679,Card,Success,3905
351,58833,NetBanking,Success,2653
352,54196,Card,Success,457
353,76997,UPI,Pending,4072
354,75030,upi,FAILED,2459
355,97287,CARD,FAILED,525
356,17127,,Success,3065
357,70983,Cash,Success,1710
358,91164,NetBanking,FAILED,0
359,27333,UPI,Success,2567
360,25457,,Success,3013
361,37577,Cash,FAILED,2143
362,49861,CARD,Pending,1876
363,51463,Cash,Success,4659
364,40515,Cash,FAILED,-100
365,13900,UPI,Success,4324
366,26586,,Pending,2437
367,39252,CARD,FAILED,1415
368,16302,NetBanking,Success,-100
369,71928,,Pending,4902
370,64931,upi,FAILED,0
371,92150,,FAILED,0
372,68700,,FAILED,3463
373,37767,NetBanking,Success,1750
374,8705,NetBanking,FAILED,2174
375,87831,NetBanking,Success,2607
376,60410,Cash,Pending,-100
377,4025,CARD,FAILED,2570
378,81759,NetBanking,Pending,1066
379,97271,UPI,Success,2223
380,75694,,FAILED,-100
381,51601,upi,FAILED,-100
382,20028,UPI,Success,3937
383,15053,Card,Success,4596
384,95162,CARD,Pending,2555
385,52479,UPI,Pending,2001
386,70640,NetBanking,FAILED,-100
387,61066,upi,Pending,0
388,54042,UPI,Pending,0
389,87256,upi,FAILED,3783
390,30448,,Success,0
391,83426,UPI,Success,-100
392,90250,NetBanking,Pending,3732
393,95668,UPI,FAILED,994
394,26852,Card,Success,-100
395,66772,Cash,FAILED,-100
396,72902,Cash,Pending,1091
397,11038,Cash,Success,1930
398,88169,NetBanking,FAILED,0
399,80752,NetBanking,FAILED,2238
400,81021,Cash,FAILED,0
401,2691,UPI,Success,2503
402,77783,upi,FAILED,2102
403,91554,CARD,FAILED,0
404,73125,upi,FAILED,1791
405,66809,upi,FAILED,1180
406,25750,Card,Success,1054
407,61815,UPI,Pending,4474
408,22899,CARD,FAILED,3055
409,9782,,Success,0
410,71015,Card,Success,0
411,11525,Card,Success,0
412,68564,Card,Success,-100
413,67779,upi,Pending,3460
414,25319,NetBanking,Pending,-100
415,7754,CARD,Pending,3772
416,59086,UPI,Pending,4674
417,23075,upi,FAILED,1100
418,37426,,FAILED,3541
419,5888,Cash,Pending,2258
420,25238,NetBanking,FAILED,2665
421,23498,,FAILED,1195
422,6138,,FAILED,3739
423,99805,NetBanking,Success,2474
424,57633,Card,Success,1124
425,98836,Card,FAILED,-100
426,59105,NetBanking,Pending,792
427,117,upi,Pending,-100
428,82339,,FAILED,0
429,40234,,Pending,1182
430,44447,Card,Success,-100
431,95459,,FAILED,561
432,7839,Card,Pending,648
433,31068,,Success,-100
434,47874,UPI,Success,0
435,64203,NetBanking,Success,1202
436,16967,NetBanking,Pending,2013
437,19600,upi,Pending,1107
438,6843,NetBanking,Pending,0
439,80718,UPI,FAILED,842
440,56313,upi,FAILED,126
441,69212,Card,Success,4936
442,43440,Card,Success,1900
443,64399,Card,Success,3498
444,39193,Card,FAILED,3990
445,87039,Cash,Success,-100
446,54739,Card,Pending,3838
447,3106,Card,Success,-100
448,96426,upi,Pending,590
449,71156,UPI,FAILED,1325
450,35723,Card,FAILED,4482
451,55621,,Success,2777
452,5735,NetBanking,FAILED,3621
453,20442,CARD,FAILED,0
454,12627,,Success,-100
455,40801,UPI,FAILED,3373
456,93494,CARD,FAILED,0
457,59190,upi,Pending,1215
458,82570,UPI,FAILED,0
459,24246,,FAILED,0
460,88407,NetBanking,Pending,2213
461,77321,,FAILED,-100
462,41096,CARD,Pending,2305
463,97727,NetBanking,FAILED,3358
464,2105,,FAILED,111
465,97473,NetBanking,Success,4635
466,51694,CARD,FAILED,1340
467,91527,UPI,FAILED,2010
468,48697,NetBanking,Pending,1520
469,97037,UPI,Pending,2595
470,24570,upi,FAILED,1603
471,89364,Card,Success,3389
472,28230,Card,FAILED,0
473,66624,UPI,Success,0
474,22567,CARD,FAILED,0
475,5085,NetBanking,Success,4249
476,36081,Card,Success,2879
477,36521,CARD,FAILED,-100
478,20643,upi,FAILED,258
479,31099,UPI,FAILED,-100
480,8526,NetBanking,FAILED,0
481,1976,CARD,Pending,1209
482,51793,upi,Pending,142
483,35321,Card,FAILED,0
484,96814,CARD,Pending,3666
485,83917,CARD,FAILED,0
486,50480,UPI,Success,0
487,9312,,Pending,-100
488,60950,Cash,FAILED,0
489,98276,CARD,FAILED,304
490,60344,upi,FAILED,1343
491,43815,Card,FAILED,3276
492,59935,UPI,Success,275
493,59362,UPI,Pending,262
494,89483,upi,FAILED,4716
495,50790,,Success,1548
496,54688,,Pending,0
497,32042,UPI,Success,1926
498,72317,Cash,Success,3374
499,49912,upi,FAILED,3085
500,48575,NetBanking,Success,962
501,24005,UPI,Success,0
502,9298,NetBanking,Success,0
503,6665,Cash,Success,1638
504,29878,UPI,Success,2508
505,54567,,FAILED,-100
506,91984,UPI,Success,439
507,59393,NetBanking,FAILED,4034
508,86345,Card,Pending,3872
509,26172,Card,Success,4566
510,86893,Card,Pending,0
511,68922,UPI,FAILED,-100
512,82171,UPI,FAILED,1891
513,75789,UPI,FAILED,0
514,62858,CARD,FAILED,2049
515,62551,NetBanking,FAILED,2917
516,57508,Card,Success,-100
517,6795,UPI,Success,0
518,51782,,Success,4220
519,46854,Card,FAILED,0
520,94225,UPI,Success,867
521,99686,Cash,Success,4229
522,95148,NetBanking,Success,3743
523,94928,UPI,Success,1711
524,53223,,Success,501
525,95494,Card,FAILED,574
526,35752,Card,FAILED,0
527,83856,Card,Success,3019
528,25142,,FAILED,4761
529,56658,CARD,Pending,2127
530,13112,upi,Pending,2690
531,99802,upi,Pending,4308
532,97191,CARD,Pending,3456
533,22947,Card,Pending,992
534,75233,NetBanking,Success,150
535,26051,,Success,0
536,33698,NetBanking,FAILED,2212
537,65504,NetBanking,FAILED,2432
538,20384,Cash,FAILED,3789
539,1214,Card,Pending,850
540,39256,CARD,FAILED,1486
541,4928,Card,Success,0
542,68612,UPI,Success,0
543,86675,Card,FAILED,216
544,50576,NetBanking,Pending,495
545,91401,UPI,Pending,1988
546,55117,upi,Pending,-100
547,76734,Cash,Success,3356
548,38271,NetBanking,Success,0
549,35280,Card,Success,0
550,6489,Cash,FAILED,4164
551,55176,CARD,FAILED,4521
552,7120,NetBanking,Pending,2446
553,69295,UPI,Success,0
554,45116,,Success,4867
555,91172,NetBanking,FAILED,0
556,39743,upi,FAILED,4662
557,62019,UPI,FAILED,0
558,94186,Card,Pending,752
559,15411,CARD,FAILED,0
560,55431,UPI,FAILED,0
561,24414,NetBanking,Success,1416
562,49972,Card,Pending,-100
563,68785,UPI,FAILED,712
564,41315,,Pending,0
565,94190,,Success,4403
566,93229,Card,Pending,347
567,62169,upi,FAILED,-100
568,14588,,FAILED,1437
569,80045,Card,FAILED,-100
570,13366,upi,Pending,2307
571,71074,,FAILED,0
572,59456,UPI,Success,-100
573,61164,CARD,Pending,2312
574,23648,upi,FAILED,-100
575,22566,Card,FAILED,2221
576,59608,UPI,FAILED,2186
577,34324,,Success,3431
578,85548,NetBanking,Success,-100
579,25477,Cash,FAILED,4437
580,40765,UPI,Success,0
581,2012,NetBanking,Success,-100
582,96832,Cash,Success,1325
583,14016,NetBanking,FAILED,180
584,92753,Cash,Success,224
585,5438,Card,Success,127
586,36002,NetBanking,FAILED,4690
587,11245,,FAILED,885
588,25070,NetBanking,Success,2851
589,81073,upi,Pending,4257
590,99884,UPI,Pending,0
591,81108,NetBanking,Pending,3336
592,89200,,FAILED,-100
593,72739,UPI,Success,1415
594,54131,Cash,Pending,0
595,49312,Cash,FAILED,1957
596,40235,UPI,Success,2683
597,39245,Cash,Success,-100
598,33311,UPI,Pending,2792
599,83300,Cash,Pending,1986
600,36757,Card,Success,363
601,80056,CARD,FAILED,4304
602,22094,upi,FAILED,0
603,53300,,Pending,3590
604,36706,UPI,Pending,3717
605,7918,Cash,FAILED,4849
606,70333,,Pending,459
607,12679,,FAILED,3509
608,17520,Card,FAILED,3534
609,96634,UPI,Success,2222
610,48996,CARD,Pending,4916
611,50272,Card,Success,1386
612,61247,Cash,Success,-100
613,82392,UPI,Success,4854
614,75927,upi,FAILED,-100
615,43107,Cash,FAILED,0
616,63840,Card,Success,1913
617,97801,Card,Success,3898
618,7977,UPI,Success,1354
619,89479,NetBanking,Success,4930
620,6855,UPI,Pending,0
621,57070,NetBanking,Pending,-100
622,14229,Card,Success,0
623,73132,upi,FAILED,-100
624,42386,CARD,Pending,-100
625,43908,NetBanking,Success,438
626,21907,CARD,FAILED,982
627,87889,NetBanking,FAILED,1409
628,80541,NetBanking,FAILED,2559
629,93865,NetBanking,FAILED,1162
630,66563,UPI,FAILED,2369
631,49706,,Pending,1704
632,24975,Card,Success,-100
633,59665,Card,Success,250
634,28493,,Success,4109
635,16602,,Pending,815
636,65273,NetBanking,FAILED,-100
637,28538,upi,FAILED,2094
638,84255,Card,FAILED,2695
639,51845,,FAILED,-100
640,32082,NetBanking,Success,2488
641,50308,Card,FAILED,-100
642,78877,UPI,Success,-100
643,12908,Cash,Success,1173
644,28366,NetBanking,Success,1144
645,63706,Card,FAILED,3127
646,34355,UPI,FAILED,4603
647,50914,UPI,FAILED,2294
648,86024,CARD,FAILED,283
649,7854,UPI,Success,-100
650,65233,UPI,Pending,2923
651,2942,CARD,FAILED,694
652,43971,Cash,Success,0
653,79007,Card,Success,891
654,58495,,FAILED,0
655,33847,Card,Success,0
656,92782,UPI,Success,0
657,23242,Cash,FAILED,0
658,4040,Cash,FAILED,-100
659,28038,NetBanking,Success,4854
660,23091,Cash,FAILED,2631
661,14230,NetBanking,FAILED,4339
662,86472,Card,FAILED,825
663,47361,Cash,FAILED,0
664,60690,Card,Success,4559
665,10133,upi,Pending,1314
666,95480,upi,FAILED,-100
667,68261,UPI,Pending,579
668,94975,Card,FAILED,2230
669,40021,NetBanking,Pending,1547
670,27141,Card,Success,3998
671,27681,Card,Pending,1355
672,90024,UPI,Success,0
673,30771,NetBanking,Success,0
674,36801,NetBanking,FAILED,-100
675,73710,,FAILED,2742
676,53013,Cash,FAILED,2213
677,84041,,Success,2973
678,85347,CARD,FAILED,0
679,88334,,FAILED,0
680,65639,Cash,Success,0
681,63340,UPI,FAILED,-100
682,27940,CARD,Pending,3854
683,12997,UPI,Success,4616
684,75581,UPI,Pending,3588
685,71218,Card,Success,3019
686,39304,Card,Success,1554
687,77296,UPI,Success,186
688,51305,UPI,FAILED,-100
689,58057,UPI,FAILED,4013
690,56889,UPI,Pending,2633
691,28503,UPI,Success,0
692,7333,Card,Success,0
693,99409,,Pending,4170
694,23671,Cash,Success,2734
695,25332,UPI,Success,2287
696,93204,UPI,Pending,4756
697,25673,NetBanking,FAILED,-100
698,81319,UPI,Pending,-100
699,94192,Card,Pending,3454
700,6971,Cash,FAILED,0
701,46000,,Success,2526
702,52443,UPI,Success,1641
703,16682,Card,FAILED,3590
704,42228,,FAILED,0
705,35625,NetBanking,FAILED,0
706,52031,UPI,Success,-100
707,65462,Cash,FAILED,3756
708,94234,Card,Success,-100
709,67973,NetBanking,Pending,0
710,59320,CARD,FAILED,717
711,81447,NetBanking,FAILED,1025
712,13006,NetBanking,Success,4714
713,64128,,Pending,-100
714,94176,,Success,1547
715,21034,CARD,FAILED,3098
716,86396,Card,Success,-100
717,62185,Cash,Pending,1832
718,73674,Card,FAILED,4841
719,84928,NetBanking,Pending,1698
720,93082,CARD,FAILED,0
721,32518,upi,FAILED,823
722,31817,UPI,FAILED,0
723,3137,,Success,1379
724,17253,Card,Success,-100
725,43974,,Success,4776
726,37733,UPI,FAILED,-100
727,98466,,FAILED,3993
728,77037,Card,Success,4003
729,31630,,FAILED,0
730,91586,Card,Success,2575
731,73230,Cash,Pending,4109
732,59801,UPI,Success,550
733,75226,Cash,Success,1354
734,13056,Card,Success,4254
735,62785,Card,Success,4497
736,62764,NetBanking,FAILED,2473
737,43307,Cash,FAILED,1618
738,51250,,Success,4775
739,32251,Card,Pending,791
740,31204,upi,FAILED,3842
741,64668,upi,FAILED,3235
742,75475,NetBanking,Success,1527
743,6662,UPI,Success,4470
744,93417,Cash,Success,0
745,14536,,Success,2113
746,62770,Card,FAILED,3266
747,57640,CARD,Pending,965
748,67374,CARD,Pending,248
749,96667,Card,Pending,2720
750,36607,UPI,Pending,1414
751,69051,CARD,FAILED,2165
752,89613,CARD,Pending,1405
753,49857,Cash,FAILED,0
754,85210,NetBanking,Success,2113
755,13777,CARD,FAILED,0
756,49561,CARD,FAILED,3317
757,6245,,Pending,1822
758,69956,Card,Pending,0
759,6282,upi,Pending,868
760,82975,Cash,Success,1292
761,74100,upi,Pending,1491
762,24972,Cash,FAILED,2786
763,2200,Card,FAILED,2244
764,83140,Card,Success,900
765,67026,Cash,Pending,-100
766,30273,Card,Success,0
767,1911,upi,FAILED,3245
768,41249,UPI,Success,-100
769,54338,UPI,FAILED,1559
770,66073,Cash,Success,0
771,99642,Cash,Success,2384
772,31838,Card,FAILED,1496
773,36201,Card,Success,853
774,49001,upi,FAILED,3666
775,61225,UPI,FAILED,1237
776,72391,Card,Success,0
777,75253,UPI,FAILED,1461
778,5421,UPI,Success,1373
779,41221,UPI,Success,-100
780,51546,UPI,FAILED,-100
781,55761,Card,Success,0
782,55608,Card,Success,0
783,42534,Cash,FAILED,1490
784,76601,Card,Success,1774
785,97053,NetBanking,Success,2004
786,84045,Cash,Success,0
787,58736,NetBanking,Pending,3523
788,69622,NetBanking,FAILED,4485
789,891,UPI,FAILED,-100
790,42084,upi,Pending,1525
791,64431,Card,FAILED,-100
792,9187,UPI,FAILED,2399
793,12599,Cash,Success,0
794,59358,Cash,Success,1636
795,3720,UPI,Success,2101
796,45753,NetBanking,Success,4907
797,35871,NetBanking,Success,1231
798,23981,upi,FAILED,449
799,76721,Card,FAILED,2968
800,17524,upi,FAILED,4210
801,2372,NetBanking,Pending,3085
802,79768,UPI,FAILED,3323
803,76248,Card,FAILED,4255
804,43506,Card,Pending,-100
805,85607,Cash,FAILED,3195
806,92497,,Success,2412
807,85975,Cash,Success,931
808,30160,upi,FAILED,0
809,885,UPI,Success,2584
810,86848,NetBanking,FAILED,-100
811,63339,CARD,FAILED,1103
812,94162,NetBanking,Pending,1156
813,2491,,FAILED,3191
814,82449,Cash,FAILED,-100
815,41037,Card,Success,2609
816,17886,UPI,Success,-100
817,51509,Cash,FAILED,1538
818,25801,,FAILED,0
819,21609,NetBanking,Pending,1607
820,38335,upi,FAILED,1003
821,51977,NetBanking,Success,1519
822,83005,Cash,Pending,269
823,23068,Card,Success,2337
824,46165,Card,Success,0
825,7783,UPI,Success,4617
826,17867,CARD,Pending,1499
827,86330,Card,FAILED,3325
828,88277,Card,FAILED,3594
829,8255,Cash,Success,1136
830,11821,UPI,Success,3317
831,31594,CARD,FAILED,0
832,75884,Cash,Pending,-100
833,20544,Card,Success,2191
834,28134,upi,FAILED,-100
835,51097,UPI,Success,-100
836,14635,UPI,FAILED,1535
837,69216,UPI,Pending,0
838,42529,,FAILED,1029
839,52975,NetBanking,Pending,3834
840,58802,NetBanking,FAILED,4501
841,67283,Cash,Success,-100
842,14552,Cash,Success,-100
843,48553,UPI,FAILED,3412
844,76543,Cash,Success,1407
845,95389,UPI,FAILED,4863
846,66031,UPI,FAILED,-100
847,84942,upi,FAILED,3483
848,5684,Cash,FAILED,-100
849,76749,Cash,FAILED,1838
850,25217,Cash,FAILED,3708
851,67601,UPI,Success,0
852,62109,Card,FAILED,4727
853,24730,upi,FAILED,3158
854,18368,UPI,FAILED,3601
855,99434,Cash,Success,2952
856,52169,upi,Pending,3238
857,315,Cash,Pending,1185
858,7409,,FAILED,1414
859,40919,upi,FAILED,1754
860,76413,UPI,Pending,-100
861,81218,NetBanking,Pending,260
862,33446,Card,Success,228
863,44838,NetBanking,FAILED,-100
864,81989,upi,Pending,3896
865,64797,CARD,FAILED,2880
866,93388,UPI,Success,0
867,49958,UPI,FAILED,481
868,19677,UPI,FAILED,4926
869,75410,Cash,Pending,557
870,37848,Card,FAILED,-100
871,31615,upi,FAILED,1077
872,90765,,Pending,4521
873,83388,Cash,Success,395
874,5485,Cash,Success,-100
875,36334,NetBanking,Pending,4838
876,85551,UPI,Success,3281
877,75485,Cash,FAILED,2291
878,38422,Card,FAILED,3754
879,89962,Cash,Pending,3931
880,92762,Card,FAILED,0
881,57957,,Success,-100
882,84034,Card,FAILED,2291
883,72973,NetBanking,Success,0
884,82100,Card,Success,-100
885,12283,NetBanking,Success,716
886,57816,NetBanking,Success,3944
887,37292,Card,FAILED,0
888,53318,NetBanking,FAILED,0
889,76504,,Success,-100
890,41384,CARD,FAILED,0
891,100000,Card,FAILED,0
892,52132,Card,Pending,0
893,28583,Card,Success,0
894,85834,,FAILED,0
895,77004,NetBanking,Success,147
896,72876,Cash,Success,683
897,45956,NetBanking,FAILED,3931
898,87030,Cash,FAILED,0
899,82352,Cash,Pending,1758
900,82289,UPI,FAILED,568
901,2726,UPI,FAILED,-100
902,13307,CARD,Pending,-100
903,21942,UPI,FAILED,0
904,60490,UPI,Success,-100
905,29587,UPI,Pending,3222
906,85830,NetBanking,Success,2760
907,66965,Cash,FAILED,-100
908,80832,upi,FAILED,-100
909,35671,CARD,FAILED,1491
