Return_ID,Order_ID,Issue_Type,Refund_Amount,Status
194,49360,Missing Item,3261,Processed
195,78805,WRONG,99999,PENDING
196,20935,,1991,PENDING
197,7306,WRONG,99999,PENDING
198,23514,Wrong Item,1072,Processed
199,68155,damaged,2902,Rejected
200,60839,,2304,Rejected
201,47708,,2855,Rejected
202,16763,Missing Item,-200,Pending
203,28683,damaged,99999,processed
204,76527,Late Delivery,3478,Processed
205,15629,Damaged,4902,PENDING
206,5432,Late Delivery,0,Pending
207,7424,damaged,2562,PENDING
208,48056,damaged,-200,PENDING
209,48725,damaged,3584,Pending
210,61314,WRONG,4793,PENDING
211,24203,damaged,1812,PENDING
212,46920,Wrong Item,-200,Rejected
213,70796,Missing Item,3762,Pending
214,69,Late Delivery,-200,Processed
215,49542,WRONG,2591,Pending
216,78368,,4578,Processed
217,49510,,971,PENDING
218,99969,Late Delivery,927,Processed
219,3760,Wrong Item,3889,Rejected
220,99269,WRONG,4730,processed
221,18522,WRONG,99999,Rejected
222,46399,,2971,Pending
223,71951,,99999,Rejected
224,37090,Late Delivery,3743,Pending
225,71944,damaged,749,Processed
226,55624,WRONG,1085,Rejected
227,52518,Missing Item,4913,Rejected
228,85117,Damaged,3979,Processed
229,43548,,99999,processed
230,91748,Missing Item,-200,Rejected
231,33053,Late Delivery,1285,PENDING
232,94976,Late Delivery,2200,Pending
233,41988,damaged,99999,Pending
234,85560,Missing Item,-200,processed
235,3210,WRONG,686,Processed
236,51636,WRONG,99999,Processed
237,48416,WRONG,0,Pending
238,84252,Late Delivery,-200,Processed
239,88561,damaged,4972,Rejected
240,39759,Late Delivery,99999,processed
241,28499,Wrong Item,1571,PENDING
242,24961,,4975,PENDING
243,34786,Late Delivery,3146,Rejected
244,25005,Damaged,140,processed
245,74634,damaged,1024,Processed
246,85046,,99999,Rejected
247,85795,Wrong Item,99999,Pending
248,5097,WRONG,-200,Pending
249,46279,damaged,1405,Processed
250,85036,,4670,Pending
251,2614,Wrong Item,2148,processed
252,3086,Late Delivery,99999,Rejected
253,78204,,3835,Pending
254,28608,Late Delivery,-200,processed
255,5890,damaged,2752,Processed
256,21556,damaged,1599,processed
257,71460,Missing Item,-200,processed
258,31979,damaged,4649,Rejected
259,56131,Missing Item,99999,PENDING
260,18284,Damaged,2944,Rejected
261,89669,WRONG,-200,Pending
262,93769,Damaged,3321,PENDING
263,78749,WRONG,4854,Rejected
264,98559,Late Delivery,0,Rejected
265,88612,Damaged,99999,PENDING
266,39363,damaged,0,processed
267,88928,damaged,567,Pending
268,37956,,3952,PENDING
269,78446,Damaged,2953,processed
270,24920,WRONG,817,Rejected
271,37831,Late Delivery,99999,Rejected
272,8283,Late Delivery,-200,PENDING
273,24666,Wrong Item,3104,Processed
274,95649,,-200,Rejected
275,68546,Late Delivery,3449,PENDING
276,83217,Wrong Item,1859,processed
277,21163,,99999,Processed
278,50583,Late Delivery,99999,PENDING
279,49721,,0,Processed
280,43206,,4775,Rejected
281,76526,Late Delivery,542,processed
282,14467,Late Delivery,3431,Rejected
283,82634,Damaged,2371,Processed
284,29503,Damaged,2436,Rejected
285,5839,Wrong Item,1992,Rejected
286,66093,Missing Item,99999,processed
287,35918,Damaged,-200,Rejected
288,35728,Damaged,1961,Pending
289,23519,Late Delivery,99999,Rejected
290,10983,WRONG,1546,Pending
291,91058,Missing Item,3608,processed
292,594,Late Delivery,99999,PENDING
293,8975,Missing Item,3323,Processed
294,36439,Wrong Item,3970,Pending
295,81711,damaged,99999,Processed
296,45199,damaged,0,Pending
297,13510,,-200,processed
298,83122,damaged,99999,Pending
299,62685,WRONG,2794,Pending
300,97017,WRONG,-200,Processed
301,97762,Wrong Item,3875,Pending
302,53045,Missing Item,-200,Pending
303,76703,Damaged,1305,Processed
304,37609,Wrong Item,-200,Rejected
305,58102,,4946,Rejected
306,73850,Missing Item,2197,Pending
307,39564,Damaged,0,Rejected
308,6794,Damaged,2387,Processed
309,53694,Late Delivery,134,Processed
310,42360,Late Delivery,99999,Processed
311,19703,WRONG,1922,processed
312,56361,,197,Processed
313,30324,WRONG,570,Rejected
314,63955,damaged,99999,PENDING
315,78746,Late Delivery,99999,Pending
316,13541,Missing Item,-200,Pending
317,27816,,4903,Pending
318,72996,Wrong Item,2369,PENDING
319,11713,,0,Rejected
320,75371,,99999,Pending
321,47813,Late Delivery,1583,Processed
322,90952,Wrong Item,0,Pending
323,41354,Late Delivery,99999,PENDING
324,45072,Missing Item,2354,PENDING
325,32436,,533,processed
326,91830,Late Delivery,3383,processed
327,79288,Wrong Item,1833,PENDING
328,57918,damaged,1876,PENDING
329,3712,damaged,4660,Pending
330,95837,Late Delivery,-200,PENDING
331,43060,Damaged,0,processed
332,85826,damaged,961,processed
333,71525,Late Delivery,2304,Pending
334,29973,,0,Processed
335,86036,Missing Item,4088,Processed
336,22092,Wrong Item,4017,PENDING
337,21680,Wrong Item,3003,PENDING
338,5292,Damaged,1030,processed
339,44416,Missing Item,99999,Processed
340,12676,,99999,Rejected
341,59766,,1200,Pending
342,13553,Missing Item,1963,Rejected
343,70740,Late Delivery,99999,Rejected
344,54119,Missing Item,2261,Rejected
345,48176,,132,Processed
346,48914,Late Delivery,2953,processed
347,32076,,-200,Processed
348,8241,,-200,Pending
349,97920,Damaged,4554,Rejected
350,82859,Damaged,3468,processed
351,17863,WRONG,99999,Rejected
352,49630,,3162,Rejected
353,47342,,0,Rejected
354,59520,WRONG,-200,Pending
355,63734,damaged,0,Rejected
356,77237,Wrong Item,3424,Pending
357,32882,damaged,99999,Pending
358,27909,Missing Item,2351,Rejected
359,89462,WRONG,563,Pending
360,57296,WRONG,-200,Rejected
361,43550,Damaged,969,PENDING
362,51756,Damaged,495,Rejected
363,31043,Wrong Item,4774,processed
364,10962,damaged,99999,Pending
365,27877,Late Delivery,-200,Rejected
366,65415,Missing Item,0,Processed
367,56473,Late Delivery,99999,PENDING
368,96384,Missing Item,0,PENDING
369,25415,WRONG,0,processed
370,83451,Damaged,664,Pending
371,6575,Late Delivery,4053,Pending
372,8584,damaged,99999,Rejected
373,74826,,3928,processed
374,67832,,4487,PENDING
375,82270,,1203,processed
376,67695,,2337,processed
377,63660,Late Delivery,4778,Rejected
378,3035,damaged,0,PENDING
379,29953,Wrong Item,1292,PENDING
380,51452,Wrong Item,2099,Pending
381,76556,,0,Pending
382,45487,,-200,processed
383,79725,Wrong Item,1320,Pending
384,73723,Missing Item,-200,PENDING
385,71551,Late Delivery,552,Pending
386,151,damaged,99999,Rejected
387,47729,Missing Item,-200,Processed
388,30004,WRONG,3431,PENDING
389,8685,Late Delivery,99999,PENDING
390,47228,Wrong Item,-200,Processed
391,16443,Late Delivery,99999,Pending
392,63329,Damaged,0,Pending
393,44899,WRONG,0,PENDING
394,24626,WRONG,0,PENDING
395,13442,Late Delivery,850,Processed
396,54258,damaged,3940,Rejected
397,61103,Late Delivery,-200,Pending
398,81149,Wrong Item,0,Processed
399,51031,Late Delivery,2391,Pending
400,74912,Missing Item,4376,processed
401,8832,Missing Item,1816,PENDING
402,12565,WRONG,2047,Rejected
403,71033,damaged,99999,Processed
404,54373,Missing Item,99999,Processed
405,30078,Wrong Item,400,PENDING
406,471,Wrong Item,99999,Pending
407,38237,Damaged,0,PENDING
408,50010,WRONG,3708,PENDING
409,77961,,99999,Processed
410,67571,Wrong Item,2077,Processed
411,66792,,-200,processed
412,1121,Missing Item,4122,Pending
413,22579,,3011,Processed
414,93989,Late Delivery,-200,PENDING
415,71301,Missing Item,-200,processed
416,36714,WRONG,-200,PENDING
417,56996,Wrong Item,591,Rejected
418,28691,Damaged,4277,Rejected
419,8785,Missing Item,-200,Processed
420,59723,,-200,Rejected
421,49892,WRONG,3034,processed
422,75930,Late Delivery,-200,Rejected
423,41164,WRONG,1134,processed
424,71204,Missing Item,4789,Rejected
425,35811,WRONG,3518,Processed
426,55246,WRONG,99999,Pending
427,70378,Missing Item,-200,PENDING
428,80327,Damaged,2986,processed
429,2223,Damaged,2514,Rejected
430,37023,Late Delivery,1425,Rejected
431,86690,WRONG,956,Rejected
432,97710,,0,processed
433,31886,Wrong Item,99999,Rejected
434,77264,Wrong Item,2814,Pending
435,88787,,0,PENDING
436,54219,Wrong Item,-200,processed
437,31721,Late Delivery,3427,PENDING
438,96534,damaged,4717,Processed
439,23589,Damaged,1076,processed
440,21511,Wrong Item,501,PENDING
441,65632,,0,Processed
442,9799,Damaged,132,PENDING
443,68190,Wrong Item,0,Pending
444,4460,damaged,1521,processed
445,47589,Damaged,1045,Processed
446,75876,Damaged,3020,processed
447,89772,WRONG,3133,processed
448,6142,Damaged,0,Pending
449,6294,Late Delivery,0,processed
450,73710,Damaged,4319,PENDING
451,24216,Late Delivery,2038,Pending
452,5205,Damaged,4642,Processed
453,27027,Late Delivery,99999,processed
454,5619,Wrong Item,-200,Processed
455,9918,Wrong Item,99999,Rejected
456,99786,Missing Item,-200,Rejected
457,15145,,-200,processed
458,58523,WRONG,0,Processed
459,16648,Missing Item,2873,Rejected
460,38639,Wrong Item,984,processed
461,19827,Damaged,3533,processed
462,65728,Damaged,490,processed
463,68035,Wrong Item,99999,Rejected
464,44638,Damaged,-200,Pending
465,40345,Wrong Item,705,processed
466,14142,Wrong Item,0,Processed
467,34695,Damaged,4993,Rejected
468,83795,damaged,99999,Processed
469,71373,Wrong Item,-200,PENDING
470,94214,Damaged,1244,processed
471,36205,Missing Item,496,processed
472,71257,Wrong Item,0,Rejected
473,47941,WRONG,0,Rejected
474,7845,Damaged,3922,PENDING
475,6276,damaged,0,processed
476,84520,Late Delivery,3151,Rejected
477,6200,WRONG,2059,Rejected
478,86954,damaged,-200,processed
479,78178,Wrong Item,99999,PENDING
480,90460,damaged,4393,Processed
481,35754,Missing Item,3169,processed
482,28149,Damaged,0,Pending
483,50956,Late Delivery,-200,processed
484,40647,Missing Item,-200,Pending
485,56548,,4798,Pending
486,2789,Late Delivery,2061,Processed
487,69822,Missing Item,3184,Rejected
488,23056,,99999,Pending
489,28759,Missing Item,3743,Pending
490,66113,damaged,4870,Pending
491,47383,Wrong Item,0,processed
492,65543,WRONG,0,processed
493,42115,Late Delivery,1245,Pending
494,97028,Late Delivery,99999,processed
495,69871,,-200,processed
496,63186,Damaged,1471,Processed
497,70152,damaged,1888,Rejected
498,81358,,3914,Processed
499,50726,Late Delivery,4446,Rejected
500,44695,,1258,Rejected
501,54217,Wrong Item,-200,Pending
502,21136,WRONG,0,Processed
503,8169,,-200,processed
504,31031,Damaged,904,PENDING
505,57245,Wrong Item,0,Processed
506,27689,Damaged,4039,Rejected
507,91097,damaged,0,Processed
508,66243,,-200,Pending
509,86917,Damaged,2111,Rejected
510,73695,WRONG,2268,processed
511,88987,,4200,Processed
512,21239,Wrong Item,1962,Pending
513,13340,Damaged,3786,Processed
514,58678,Missing Item,4393,Rejected
515,95002,WRONG,-200,Pending
516,97504,Wrong Item,99999,Processed
517,89621,damaged,0,Pending
518,45616,damaged,0,Rejected
519,50395,damaged,0,Rejected
520,20888,Late Delivery,142,Rejected
521,95184,Missing Item,0,Rejected
522,73116,Missing Item,99999,PENDING
523,6192,WRONG,0,processed
524,67833,,-200,processed
525,74442,damaged,99999,Processed
526,38553,Wrong Item,1404,Processed
527,1805,Missing Item,734,Rejected
528,75306,damaged,468,Pending
529,80165,WRONG,-200,Processed
530,43394,Damaged,99999,processed
531,13471,WRONG,0,Rejected
532,35969,WRONG,2604,processed
533,9396,Missing Item,3186,PENDING
534,80937,damaged,99999,Processed
535,43979,Missing Item,3639,processed
536,64050,damaged,4848,Rejected
537,41628,,3001,Rejected
538,91559,Wrong Item,1266,Rejected
539,4709,Wrong Item,99999,PENDING
540,47154,Missing Item,4921,processed
541,50625,WRONG,0,PENDING
542,6929,WRONG,0,Pending
543,89230,Missing Item,-200,PENDING
544,82999,Late Delivery,2447,Processed
545,2495,Damaged,99999,processed
546,32030,Damaged,3357,Rejected
547,90576,Wrong Item,3565,processed
548,84104,Missing Item,99999,PENDING
549,33009,WRONG,2373,Pending
550,45478,WRONG,4236,PENDING
551,37765,Missing Item,986,Pending
552,53511,WRONG,2485,Rejected
553,98990,Wrong Item,4507,processed
554,80897,Late Delivery,-200,Rejected
555,65556,Late Delivery,99999,Processed
556,80737,Wrong Item,2953,Rejected
557,81998,Wrong Item,3580,Pending
558,33204,Late Delivery,1455,Rejected
559,67620,Wrong Item,1057,Rejected
560,45605,WRONG,-200,PENDING
561,3998,WRONG,3598,Pending
562,68123,Missing Item,0,Processed
563,50084,Damaged,-200,processed
564,51557,Missing Item,99999,Processed
565,40861,Damaged,1791,processed
566,35216,,-200,Pending
567,26551,Wrong Item,0,PENDING
568,23454,Damaged,717,Processed
569,78860,WRONG,2045,Rejected
570,38198,Late Delivery,3246,Processed
571,44031,damaged,4916,Pending
572,47138,WRONG,0,Pending
573,48353,Damaged,-200,processed
574,8420,Late Delivery,-200,Rejected
575,37710,Damaged,-200,Rejected
576,21768,,4126,processed
577,24163,Wrong Item,-200,Processed
578,11226,Wrong Item,0,Pending
579,98058,Late Delivery,2049,Pending
580,18128,Damaged,99999,Processed
581,92030,Damaged,2261,Processed
582,88669,,1884,processed
583,48525,Damaged,1845,PENDING
584,48451,Late Delivery,0,Processed
585,51335,WRONG,99999,PENDING
586,77124,Missing Item,-200,PENDING
587,88876,Damaged,1800,PENDING
588,89391,Missing Item,1223,Rejected
589,79107,,1009,processed
590,29973,damaged,0,Processed
591,80972,damaged,-200,processed
592,80274,,-200,Rejected
593,52348,damaged,4007,processed
594,56968,Damaged,1533,Rejected
595,95215,,1025,Rejected
596,95189,,842,Processed
597,36942,Wrong Item,-200,Processed
598,37093,Missing Item,251,PENDING
599,14127,Wrong Item,3476,processed
600,99752,Damaged,-200,Pending
601,26850,Missing Item,-200,processed
602,52350,Damaged,1967,processed
603,49406,WRONG,3470,Processed
604,5907,Missing Item,337,processed
605,36307,Late Delivery,99999,Rejected
606,57632,Wrong Item,-200,Processed
607,33015,WRONG,0,processed
608,13043,,-200,Pending
609,85581,Damaged,4698,processed
610,61429,Wrong Item,2249,PENDING
611,28920,Damaged,-200,processed
612,57599,Damaged,2522,processed
613,84767,damaged,-200,PENDING
614,6825,damaged,99999,PENDING
615,21472,WRONG,3191,Processed
616,99910,Missing Item,0,Pending
617,60808,damaged,0,Pending
618,19426,WRONG,3496,PENDING
619,45747,Wrong Item,1616,processed
620,75688,Wrong Item,-200,Pending
621,65112,damaged,-200,processed
622,29398,Missing Item,99999,Rejected
623,21239,Wrong Item,1233,Rejected
624,17718,Missing Item,99999,PENDING
625,965,,714,processed
626,80148,WRONG,2707,processed
627,52038,Late Delivery,993,Rejected
628,56839,Wrong Item,0,processed
629,623,damaged,1288,PENDING
630,12345,,-200,Pending
631,13430,WRONG,2764,Rejected
632,27259,Late Delivery,690,Rejected
633,78765,WRONG,2570,processed
634,48145,Late Delivery,-200,Rejected
635,7485,Missing Item,99999,Pending
636,10000,damaged,1529,Rejected
637,39391,WRONG,4782,Rejected
638,57273,damaged,3537,PENDING
639,6826,Damaged,426,processed
640,63157,WRONG,-200,Rejected
641,49532,Late Delivery,4771,Rejected
642,84198,Damaged,4996,PENDING
643,3595,Late Delivery,4682,processed
644,37606,Late Delivery,-200,Rejected
645,39054,,-200,Pending
646,27019,Damaged,3723,Pending
647,65838,,2559,Rejected
648,46646,Damaged,4579,Pending
649,45260,Missing Item,127,processed
650,80005,damaged,-200,PENDING
651,42146,WRONG,4251,Rejected
652,50645,,0,Processed
653,90268,Late Delivery,2312,Pending
654,86270,Damaged,1398,Rejected
655,60824,damaged,-200,processed
656,72520,WRONG,2011,Rejected
657,15078,Missing Item,3544,Pending
658,22277,Damaged,-200,PENDING
659,30384,WRONG,4881,processed
660,64936,,0,Processed
661,55333,,3361,Processed
662,93718,Missing Item,762,Processed
663,24217,,-200,PENDING
664,33037,damaged,3441,PENDING
665,36853,Missing Item,4274,PENDING
666,36881,Late Delivery,3018,Rejected
667,68284,Missing Item,99999,Rejected
668,91663,,99999,Pending
669,76266,Missing Item,99999,Processed
670,6429,Damaged,99999,Pending
671,74549,damaged,3847,PENDING
672,27760,Missing Item,3418,PENDING
673,86787,Late Delivery,3049,Rejected
674,3544,Late Delivery,3749,Pending
675,11583,WRONG,4121,Processed
676,82621,damaged,0,Processed
677,84808,Missing Item,2012,Rejected
678,53875,WRONG,0,PENDING
679,21754,Wrong Item,0,processed
680,99003,WRONG,0,Pending
681,22419,WRONG,99999,PENDING
682,42996,,0,Processed
683,62198,Damaged,-200,Pending
684,99897,Missing Item,2756,PENDING
685,72411,Damaged,2612,Rejected
686,80328,Damaged,99999,Rejected
687,88337,Wrong Item,2916,Processed
688,25329,Damaged,2796,Rejected
689,75981,Missing Item,0,Rejected
690,80268,WRONG,0,Rejected
691,85682,WRONG,99999,Processed
692,1550,damaged,1260,Rejected
693,21860,Missing Item,0,Rejected
694,6695,Damaged,3720,processed
695,96744,Missing Item,0,PENDING
696,43343,Missing Item,-200,Pending
697,10986,,1406,Pending
698,21408,,-200,PENDING
699,90975,WRONG,2549,Pending
700,76924,Damaged,99999,Processed
701,53854,,99999,Rejected
702,96059,Missing Item,3590,Processed
703,19113,Damaged,2549,PENDING
704,33778,damaged,-200,processed
705,43316,damaged,2609,Pending
706,13242,Wrong Item,332,Pending
707,29250,Wrong Item,0,Rejected
708,49478,Missing Item,0,Rejected
709,99433,Damaged,99999,Rejected
710,66548,,561,processed
711,69568,Missing Item,4112,Rejected
712,41773,,4173,Processed
713,36594,,0,Processed
714,59580,WRONG,3772,Rejected
715,13162,WRONG,1656,Rejected
716,20981,Damaged,0,Processed
717,6299,Wrong Item,925,Pending
718,88950,Wrong Item,0,Pending
719,93299,Missing Item,1043,Rejected
720,20679,WRONG,0,Rejected
721,94377,,0,Rejected
722,73976,Missing Item,0,processed
723,47465,Missing Item,99999,Rejected
724,34857,,99999,Rejected
725,86383,,-200,PENDING
726,35790,WRONG,4590,PENDING
727,77356,Damaged,-200,Processed
728,32672,,2469,Rejected
729,10701,Late Delivery,0,Pending
730,18199,,-200,processed
731,7066,WRONG,-200,Processed
732,85303,WRONG,2287,processed
733,62320,damaged,0,PENDING
734,30232,Missing Item,-200,PENDING
735,69849,Wrong Item,-200,Processed
736,41544,damaged,1060,Rejected
737,78466,Late Delivery,-200,Pending
738,58595,Late Delivery,4387,Rejected
739,70380,damaged,-200,Processed
740,23021,Damaged,99999,PENDING
741,44617,Missing Item,-200,Pending
742,22318,Wrong Item,-200,Pending
743,60506,Damaged,4747,PENDING
744,52283,Late Delivery,1276,Rejected
745,82027,Damaged,189,Pending
746,41541,Wrong Item,1081,processed
747,3552,Late Delivery,4520,processed
748,49065,,99999,Pending
749,60161,Wrong Item,719,Pending
750,83141,,522,Pending
751,12841,Damaged,797,PENDING
752,10654,damaged,99999,PENDING
753,33279,Damaged,4962,PENDING
754,57701,Missing Item,1673,Processed
755,78218,Missing Item,4958,Pending
756,23091,damaged,917,processed
757,32634,,2094,Rejected
758,74670,Late Delivery,749,PENDING
759,35484,Damaged,4709,processed
760,51583,Missing Item,1230,Pending
761,25912,Wrong Item,0,Processed
762,46851,Damaged,99999,Pending
763,76086,Wrong Item,-200,Rejected
764,7655,Damaged,-200,PENDING
765,51577,damaged,3212,PENDING
766,86705,Wrong Item,634,Processed
767,47463,Wrong Item,4085,processed
768,115,,1572,Pending
769,41390,Damaged,3209,Pending
770,40895,damaged,0,Rejected
771,41846,Wrong Item,99999,Rejected
772,26124,WRONG,3456,Rejected
773,77892,Missing Item,-200,Rejected
774,85175,WRONG,-200,Processed
775,34946,Late Delivery,0,processed
776,81651,damaged,99999,Pending
777,73949,,3349,processed
778,9802,Late Delivery,2296,Pending
779,65600,Late Delivery,-200,Processed
780,48061,Late Delivery,4198,Rejected
781,16399,Late Delivery,1293,Rejected
782,77944,Late Delivery,4800,PENDING
783,92027,Wrong Item,1457,PENDING
784,58526,WRONG,4437,Rejected
785,68169,,330,Pending
786,84379,damaged,1436,PENDING
787,87890,damaged,3121,PENDING
788,82862,,1874,Processed
789,74298,Damaged,2020,Pending
790,80503,,1030,Pending
791,29151,WRONG,1692,Pending
792,56924,Missing Item,0,Processed
793,45711,WRONG,2751,PENDING
794,41289,,99999,Rejected
795,24609,damaged,-200,Processed
796,35128,Wrong Item,1969,PENDING
797,83534,damaged,2716,Rejected
798,26995,Late Delivery,0,processed
799,37411,,-200,Processed
800,4733,damaged,1930,processed
801,79768,Late Delivery,1419,processed
802,33325,WRONG,312,processed
803,17144,,99999,PENDING
804,44098,Late Delivery,2224,processed
805,90491,Wrong Item,-200,Pending
806,79135,damaged,0,PENDING
807,53701,Wrong Item,-200,processed
808,87629,damaged,4676,Rejected
809,55151,Late Delivery,0,PENDING
810,76595,Missing Item,3197,processed
811,78928,,99999,PENDING
812,64312,Missing Item,99999,Pending
813,95738,Late Delivery,-200,Processed
814,77675,Late Delivery,0,Processed
815,92517,,2175,processed
816,88189,Late Delivery,3140,Processed
817,33999,WRONG,1775,Processed
818,84125,,3866,Processed
819,93666,,1175,processed
820,64851,damaged,99999,Processed
821,67105,Damaged,2797,Processed
822,55973,Wrong Item,0,Processed
823,25387,,-200,PENDING
