Order_ID,Status,Update_Date,Update_Time
58921,In Transit,2020-12-04,09:58:00
38206,DELIVERED,2024-12-27,17:25:00
7896,Out for Delivery,2022-01-28,02:37:00
17079,Order Placed,2022-09-16,04:44:00
26607,DELIVERED,2020-08-10,16:02:00
82971,in transit,2023-07-24,21:09:00
51391,Dispatched,2022-11-06,16:18:00
57086,Delivered,2022-01-18,17:15:00
32691,Delayed,2020-07-09,08:16:00
57464,DELIVERED,2022-04-09,23:43:00
2084,in transit,2024-07-02,10:30:00
1637,order placed,2022-04-19,21:53:00
57941,Out for Delivery,2022-10-29,03:53:00
66402,In Transit,2025-05-16,10:57:00
54366,Out for Delivery,2023-04-14,08:07:00
25765,Delayed,2025-04-09,21:59:00
44030,Delivered,2025-04-19,10:53:00
2053,in transit,2023-04-21,12:31:00
54974,In Transit,2024-03-05,23:35:00
20493,order placed,2025-05-07,00:50:00
3194,Delivered,2024-10-18,03:06:00
54100,Dispatched,2023-01-22,16:42:00
19234,In Transit,2025-03-15,13:59:00
16840,Order Placed,2021-09-17,03:46:00
32098,Delayed,2024-04-14,23:20:00
46473,Order Placed,2022-05-27,20:38:00
85863,Delayed,2025-07-15,02:25:00
21233,Delivered,2023-12-02,14:09:00
4216,DELIVERED,2020-08-01,02:05:00
28488,Out for Delivery,2022-10-31,07:36:00
643,Dispatched,2025-02-14,21:58:00
30186,DELIVERED,2021-05-09,21:00:00
28727,Delivered,2025-02-13,14:10:00
14733,Delayed,2023-06-10,12:14:00
28191,Dispatched,2025-02-13,15:49:00
63364,Out for Delivery,2022-02-04,09:40:00
98489,DELIVERED,2021-09-05,00:09:00
70828,order placed,2025-06-05,20:19:00
89382,Delayed,2024-02-26,02:51:00
55919,Out for Delivery,2021-07-15,11:34:00
82715,Order Placed,2025-06-27,01:28:00
31238,Out for Delivery,2020-01-04,11:16:00
74843,order placed,2021-02-21,20:24:00
7224,Delayed,2025-05-14,01:39:00
46377,Out for Delivery,2020-03-21,10:24:00
35083,order placed,2024-07-26,19:46:00
65031,Dispatched,2020-11-05,13:42:00
44771,Delivered,2024-11-25,07:48:00
42996,Out for Delivery,2021-02-15,13:00:00
22433,Dispatched,2022-03-05,00:54:00
46447,Dispatched,2021-02-08,10:48:00
71116,Delivered,2021-12-10,04:31:00
6243,Delayed,2021-02-16,09:05:00
36327,In Transit,2025-11-19,17:11:00
78163,Order Placed,2024-02-14,19:34:00
66341,Order Placed,2024-09-16,07:05:00
63050,Dispatched,2021-02-27,03:42:00
70674,Order Placed,2022-08-13,22:07:00
32707,DELIVERED,2022-03-15,09:33:00
98272,order placed,2022-04-03,08:42:00
7779,Order Placed,2024-06-21,06:59:00
82281,Delayed,2021-04-21,07:20:00
78757,Out for Delivery,2021-01-31,19:36:00
36820,Out for Delivery,2020-07-31,21:04:00
62853,Out for Delivery,2025-11-30,15:07:00
53684,In Transit,2023-06-19,06:23:00
33962,order placed,2020-04-14,00:30:00
69105,In Transit,2022-01-23,03:34:00
11708,Out for Delivery,2023-06-15,13:50:00
27965,In Transit,2021-01-04,11:43:00
55384,Out for Delivery,2022-08-15,06:19:00
44057,Delivered,2022-02-22,04:44:00
38800,Dispatched,2024-05-23,15:59:00
70187,DELIVERED,2020-10-03,00:27:00
10371,order placed,2020-01-24,16:46:00
72523,Dispatched,2022-07-07,17:50:00
45732,Dispatched,2023-02-05,00:34:00
91298,Delivered,2025-05-28,04:16:00
71793,order placed,2023-08-23,01:16:00
46276,Out for Delivery,2023-11-01,13:20:00
9270,DELIVERED,2025-08-27,07:23:00
74388,Order Placed,2020-08-02,13:17:00
43812,order placed,2020-07-30,22:47:00
45755,In Transit,2025-04-15,11:44:00
29548,In Transit,2020-04-21,05:20:00
59223,Delayed,2023-10-30,13:15:00
69681,in transit,2022-11-13,13:19:00
12064,Delayed,2020-05-24,12:44:00
23801,Order Placed,2020-12-03,06:27:00
80262,Delayed,2023-12-18,00:02:00
76650,DELIVERED,2023-05-13,04:41:00
95589,DELIVERED,2022-07-14,23:45:00
97298,Delivered,2024-09-05,19:30:00
26545,Out for Delivery,2020-02-16,09:41:00
56938,Order Placed,2024-11-15,13:32:00
94343,In Transit,2020-12-04,16:48:00
7455,Out for Delivery,2021-02-13,00:01:00
97686,in transit,2021-12-08,18:48:00
79739,DELIVERED,2020-11-03,09:51:00
99234,in transit,2025-07-26,23:35:00
27580,DELIVERED,2020-12-06,07:56:00
50576,order placed,2021-11-04,22:54:00
95039,Delayed,2022-04-29,06:31:00
78506,In Transit,2023-12-22,10:21:00
18289,Out for Delivery,2024-12-28,23:59:00
85855,Out for Delivery,2024-09-28,00:12:00
51104,Out for Delivery,2024-03-12,12:24:00
65097,DELIVERED,2022-02-16,04:19:00
23833,Delayed,2022-11-14,14:20:00
555,Order Placed,2020-05-13,00:22:00
59814,in transit,2024-06-30,21:52:00
30100,order placed,2022-03-16,10:09:00
79111,Out for Delivery,2022-11-06,06:29:00
13817,Delayed,2024-09-12,13:17:00
36575,DELIVERED,2021-02-14,15:44:00
91316,Order Placed,2023-11-17,14:12:00
54988,Out for Delivery,2022-04-12,04:03:00
19903,Delivered,2023-05-27,16:31:00
92571,Delayed,2025-07-04,14:07:00
17263,in transit,2023-04-13,16:56:00
10483,order placed,2020-02-29,13:38:00
34074,DELIVERED,2025-06-02,13:40:00
29270,Delayed,2020-12-25,04:35:00
446,Out for Delivery,2022-01-23,10:52:00
84042,Order Placed,2024-06-01,16:57:00
32410,Delayed,2021-08-19,04:35:00
82132,Order Placed,2022-08-08,17:21:00
28408,Dispatched,2020-12-07,04:03:00
738,Delivered,2020-01-28,19:59:00
17837,In Transit,2021-01-17,05:02:00
86209,Delivered,2024-10-18,17:34:00
23538,In Transit,2021-06-02,12:36:00
61704,Out for Delivery,2022-02-04,19:52:00
87614,Delayed,2020-02-06,20:04:00
87414,Dispatched,2024-02-13,08:24:00
67506,DELIVERED,2024-12-06,20:27:00
33259,in transit,2025-06-17,08:36:00
59267,order placed,2022-05-01,12:27:00
17072,In Transit,2024-05-18,21:22:00
38622,order placed,2024-11-27,03:20:00
10729,in transit,2023-02-13,17:42:00
92813,Order Placed,2023-07-23,03:50:00
52743,Delayed,2025-01-14,11:16:00
75610,in transit,2023-06-20,23:21:00
69100,Delayed,2020-05-09,23:59:00
22190,Out for Delivery,2021-03-16,23:49:00
64235,Delivered,2024-12-13,13:39:00
5872,In Transit,2022-12-25,22:15:00
4738,DELIVERED,2024-08-27,01:21:00
44465,Out for Delivery,2025-02-11,13:29:00
49195,Order Placed,2022-04-27,04:25:00
46494,in transit,2021-03-11,00:51:00
30676,Order Placed,2025-12-06,10:10:00
29401,In Transit,2020-06-13,01:17:00
27804,Dispatched,2021-08-01,04:31:00
25747,Out for Delivery,2024-07-11,09:33:00
54134,Order Placed,2021-05-09,18:53:00
78570,Order Placed,2021-02-21,21:57:00
34550,Dispatched,2023-08-31,03:32:00
63262,In Transit,2025-10-19,13:57:00
3414,DELIVERED,2022-10-27,10:28:00
92664,Order Placed,2022-01-07,07:22:00
48983,Delayed,2025-10-26,23:49:00
11527,Delayed,2022-02-04,07:39:00
62128,In Transit,2021-08-10,21:51:00
47238,Delivered,2025-11-24,17:15:00
91965,in transit,2024-04-05,03:06:00
44373,in transit,2023-05-29,02:02:00
7085,Dispatched,2023-11-07,05:55:00
86457,Delivered,2023-11-14,07:14:00
2413,Order Placed,2022-11-11,18:38:00
26480,Delayed,2025-10-16,09:07:00
73035,Dispatched,2021-01-21,00:56:00
80448,DELIVERED,2023-02-01,23:46:00
78147,in transit,2024-11-18,09:14:00
23733,Out for Delivery,2020-06-10,10:23:00
72425,Delivered,2020-11-03,13:56:00
43832,in transit,2022-08-19,12:50:00
7551,order placed,2020-01-04,08:58:00
90542,DELIVERED,2022-08-09,10:26:00
87547,In Transit,2025-04-22,23:10:00
6043,Delivered,2023-06-13,17:54:00
13675,order placed,2022-07-03,16:39:00
98757,Out for Delivery,2022-08-23,08:15:00
66857,Order Placed,2020-04-25,21:57:00
44377,in transit,2022-12-11,18:32:00
57233,Order Placed,2023-03-11,22:25:00
45106,in transit,2025-06-24,17:45:00
15052,Out for Delivery,2024-04-20,19:37:00
89250,DELIVERED,2024-11-11,21:23:00
81627,order placed,2020-06-29,08:35:00
35837,in transit,2023-09-15,13:21:00
88323,Out for Delivery,2021-02-02,22:08:00
48353,Dispatched,2025-08-11,13:23:00
6400,Order Placed,2020-06-02,18:53:00
38605,Dispatched,2021-05-14,19:17:00
5494,In Transit,2024-05-11,23:56:00
63291,Order Placed,2023-11-07,01:51:00
73924,DELIVERED,2020-05-04,08:37:00
4395,Dispatched,2020-11-10,07:38:00
36498,DELIVERED,2020-05-25,19:05:00
25867,Dispatched,2024-07-14,06:48:00
90007,Delayed,2022-11-12,18:28:00
38430,in transit,2021-12-07,16:36:00
91913,Delivered,2020-04-29,13:16:00
71138,Delivered,2023-03-21,07:56:00
60090,Dispatched,2020-05-14,19:02:00
71171,Order Placed,2024-11-21,19:17:00
34645,order placed,2025-09-24,10:20:00
30676,in transit,2021-11-10,10:29:00
93638,Out for Delivery,2022-04-08,13:40:00
59265,Delayed,2025-03-13,04:33:00
13694,DELIVERED,2021-01-04,08:50:00
14871,Order Placed,2025-05-08,06:45:00
86673,Delivered,2023-06-10,07:34:00
18299,Out for Delivery,2022-07-31,04:32:00
79130,DELIVERED,2020-12-11,03:12:00
51371,In Transit,2020-07-11,19:43:00
52768,Delivered,2021-11-07,00:32:00
58812,DELIVERED,2024-08-05,03:37:00
69264,Delivered,2025-04-26,13:53:00
21023,In Transit,2024-01-19,15:04:00
44823,In Transit,2021-02-01,06:51:00
42585,Delayed,2024-06-05,15:30:00
70890,order placed,2020-01-24,18:49:00
5091,order placed,2021-11-17,09:57:00
15896,Order Placed,2024-01-07,10:46:00
17094,Order Placed,2024-07-06,10:15:00
91578,Delivered,2023-04-08,18:25:00
32916,Delivered,2024-06-10,19:45:00
91305,in transit,2023-07-12,18:31:00
82586,In Transit,2025-04-14,06:07:00
37236,Out for Delivery,2021-03-29,03:34:00
3433,in transit,2024-09-02,10:04:00
640,Delayed,2024-09-25,02:02:00
38342,Dispatched,2025-02-08,02:44:00
15563,Delivered,2021-07-31,06:02:00
25161,DELIVERED,2023-03-08,08:47:00
73938,order placed,2020-07-11,02:54:00
43177,in transit,2021-09-15,10:48:00
44700,Delayed,2023-03-03,02:06:00
41838,DELIVERED,2021-08-22,13:38:00
11216,order placed,2020-06-19,13:01:00
26833,DELIVERED,2024-04-23,12:31:00
64983,DELIVERED,2024-12-01,01:00:00
52483,Dispatched,2022-03-08,06:20:00
59133,Out for Delivery,2024-11-27,13:43:00
79178,In Transit,2022-03-31,21:19:00
49104,Out for Delivery,2024-02-06,05:32:00
94850,In Transit,2024-02-04,17:48:00
18719,Delivered,2022-05-30,16:43:00
40935,order placed,2021-01-20,15:06:00
93010,In Transit,2021-05-12,22:59:00
5930,DELIVERED,2025-06-26,00:45:00
16336,DELIVERED,2020-08-06,17:40:00
2265,in transit,2020-02-29,12:52:00
71046,in transit,2024-09-20,03:53:00
18295,Out for Delivery,2024-01-31,15:48:00
46425,Out for Delivery,2025-05-31,13:45:00
97382,DELIVERED,2024-11-06,09:21:00
78132,Order Placed,2020-07-20,02:03:00
30173,Delayed,2021-12-08,13:13:00
7779,Delivered,2024-04-21,00:01:00
34565,Delayed,2025-03-09,18:27:00
27912,Dispatched,2023-01-31,18:48:00
74209,in transit,2025-11-13,14:31:00
20044,Delivered,2022-11-15,21:34:00
80643,Out for Delivery,2022-07-03,13:26:00
47041,order placed,2023-06-11,03:10:00
64731,in transit,2023-05-06,10:34:00
76720,Out for Delivery,2021-12-09,05:40:00
57236,in transit,2021-01-19,21:43:00
91022,Out for Delivery,2023-12-27,08:51:00
69719,Delayed,2020-09-16,06:18:00
78466,In Transit,2022-09-12,05:06:00
48800,order placed,2021-09-25,17:59:00
70838,in transit,2023-01-27,00:47:00
47700,Out for Delivery,2025-07-02,06:46:00
57054,In Transit,2025-02-14,07:21:00
78631,DELIVERED,2025-12-29,18:21:00
33103,DELIVERED,2021-12-10,20:22:00
4441,In Transit,2020-03-09,13:04:00
48032,In Transit,2025-01-23,17:16:00
86715,order placed,2022-09-10,06:40:00
76567,Dispatched,2024-09-18,07:10:00
98382,Dispatched,2022-05-10,23:48:00
35479,Delivered,2025-01-03,22:52:00
34975,Dispatched,2025-02-26,07:34:00
8329,Dispatched,2020-01-23,14:42:00
29280,DELIVERED,2022-09-30,19:34:00
41371,Order Placed,2020-06-07,15:47:00
22983,Delayed,2020-09-19,09:51:00
92834,order placed,2023-09-30,19:09:00
43502,Delayed,2021-10-03,16:43:00
3977,DELIVERED,2021-06-19,00:28:00
94166,order placed,2022-12-23,16:26:00
13847,order placed,2021-05-13,20:42:00
46428,In Transit,2023-01-29,11:34:00
81769,Dispatched,2025-01-27,00:35:00
40447,In Transit,2025-07-04,16:02:00
26211,Dispatched,2024-06-11,05:09:00
64363,Order Placed,2020-03-16,16:09:00
5198,Delivered,2025-10-08,23:55:00
58554,Order Placed,2021-06-30,04:48:00
48874,Delivered,2025-01-25,07:29:00
11641,Out for Delivery,2022-06-03,05:50:00
76773,DELIVERED,2020-08-05,12:08:00
27276,Delivered,2021-11-29,09:15:00
23747,Delivered,2024-10-08,11:09:00
46667,Out for Delivery,2020-03-26,20:21:00
25051,order placed,2023-04-29,16:38:00
94341,Out for Delivery,2022-08-20,18:24:00
38977,in transit,2024-08-17,20:23:00
772,Dispatched,2024-05-01,05:11:00
52732,order placed,2021-01-31,23:16:00
11781,in transit,2025-11-12,12:29:00
50842,In Transit,2024-11-15,06:55:00
82754,DELIVERED,2023-05-02,18:13:00
8336,Dispatched,2022-04-28,16:41:00
91488,Delivered,2020-09-24,07:22:00
33963,in transit,2021-11-18,14:52:00
82005,in transit,2021-06-17,03:43:00
47810,in transit,2021-06-11,06:01:00
71857,Out for Delivery,2022-04-17,13:59:00
42290,Order Placed,2025-11-27,00:25:00
7998,Delivered,2020-09-17,20:19:00
93046,Delivered,2023-12-05,17:24:00
25236,Order Placed,2020-06-02,13:11:00
55962,In Transit,2023-01-24,20:10:00
73363,Delivered,2021-01-13,01:57:00
45151,Order Placed,2023-08-03,11:02:00
46172,Delivered,2023-05-21,19:50:00
32581,order placed,2024-01-09,06:38:00
91970,in transit,2022-04-07,00:00:00
55930,In Transit,2025-05-14,16:47:00
16900,DELIVERED,2024-03-16,07:21:00
19284,Dispatched,2025-12-02,07:37:00
36975,Delayed,2023-11-14,04:55:00
96478,DELIVERED,2025-12-07,07:57:00
93451,order placed,2024-10-21,15:42:00
47986,DELIVERED,2020-12-07,09:37:00
47170,Delivered,2024-08-06,21:56:00
59624,Delayed,2022-05-14,06:34:00
98473,Delayed,2021-03-22,00:55:00
18379,in transit,2020-11-10,01:09:00
58635,DELIVERED,2021-04-25,12:29:00
24971,in transit,2021-07-26,10:18:00
44273,Delivered,2022-01-03,13:45:00
44489,Dispatched,2020-12-15,06:40:00
56232,Order Placed,2023-02-04,20:58:00
79318,order placed,2023-01-24,02:21:00
91496,in transit,2021-10-13,08:03:00
8377,DELIVERED,2024-10-23,15:18:00
52217,Delivered,2025-02-16,01:59:00
34748,in transit,2024-12-08,12:06:00
26905,Delayed,2024-12-15,06:39:00
13238,Delivered,2020-06-05,00:35:00
2690,in transit,2025-03-17,16:05:00
33378,Dispatched,2022-07-29,12:31:00
27456,Order Placed,2022-09-15,23:54:00
44128,order placed,2025-11-25,15:18:00
19312,In Transit,2022-11-01,23:31:00
3740,Order Placed,2025-09-16,06:12:00
77799,In Transit,2025-10-22,20:47:00
17999,Delayed,2023-03-14,12:49:00
16496,Out for Delivery,2022-01-20,04:12:00
59884,in transit,2024-04-27,00:24:00
46269,Dispatched,2024-05-25,11:29:00
8678,order placed,2024-04-19,13:59:00
79527,in transit,2023-09-22,12:37:00
50138,in transit,2020-08-19,23:13:00
86828,In Transit,2022-06-17,06:01:00
13735,Dispatched,2022-03-28,18:36:00
12016,Delayed,2020-06-01,00:51:00
17188,In Transit,2022-05-18,01:07:00
94654,Delivered,2022-01-16,18:30:00
79532,Delayed,2025-12-12,09:23:00
75233,order placed,2024-02-29,16:27:00
44203,in transit,2024-11-23,01:05:00
52932,DELIVERED,2023-10-31,04:46:00
4134,in transit,2020-05-20,20:35:00
38460,in transit,2020-06-08,09:33:00
90704,DELIVERED,2021-07-30,09:37:00
46136,DELIVERED,2020-08-25,09:49:00
75644,in transit,2024-06-23,19:20:00
68114,in transit,2025-08-28,07:01:00
43400,In Transit,2024-05-09,20:09:00
33868,Dispatched,2023-09-19,15:23:00
34933,Out for Delivery,2021-12-29,00:05:00
39975,Out for Delivery,2023-05-20,22:59:00
60863,order placed,2024-02-29,11:40:00
85666,DELIVERED,2023-11-15,20:01:00
88746,Order Placed,2022-07-19,00:31:00
45328,Delivered,2023-01-01,22:43:00
11137,Delivered,2025-01-17,13:37:00
51291,Delivered,2024-08-13,00:13:00
77407,Delivered,2021-10-10,06:16:00
29381,Dispatched,2025-04-15,03:25:00
3746,order placed,2020-09-17,15:46:00
11380,DELIVERED,2022-08-03,04:32:00
77480,Out for Delivery,2021-08-23,23:18:00
25483,in transit,2021-10-15,17:58:00
35232,In Transit,2021-08-05,11:50:00
7205,Out for Delivery,2021-05-24,10:36:00
17008,DELIVERED,2020-03-28,14:28:00
37359,Delayed,2023-02-03,16:05:00
95019,order placed,2023-05-13,03:53:00
85973,in transit,2021-02-27,18:53:00
1976,DELIVERED,2022-09-08,11:38:00
49803,in transit,2020-02-18,20:13:00
94709,Out for Delivery,2020-08-24,09:13:00
35496,Dispatched,2022-12-23,00:00:00
36928,In Transit,2024-03-06,05:32:00
55090,Delivered,2020-10-29,10:13:00
27754,Delayed,2024-01-28,10:47:00
18002,Order Placed,2024-05-10,04:52:00
64858,in transit,2020-06-15,19:11:00
61678,Delivered,2022-04-04,01:03:00
16972,In Transit,2020-03-10,23:57:00
32023,Out for Delivery,2025-10-25,17:02:00
97377,order placed,2022-06-24,19:44:00
78630,Order Placed,2023-12-31,16:11:00
37805,in transit,2020-01-12,16:17:00
50985,Delivered,2020-07-08,04:46:00
78344,Delayed,2025-03-19,13:50:00
56712,Dispatched,2020-09-21,02:55:00
30204,in transit,2024-07-09,08:24:00
30154,Order Placed,2023-04-12,22:30:00
49753,Out for Delivery,2022-11-28,16:42:00
26693,Delayed,2024-05-06,22:00:00
28994,order placed,2023-10-12,20:20:00
29626,In Transit,2024-08-17,13:44:00
62913,order placed,2025-12-21,09:56:00
87390,in transit,2022-01-23,04:25:00
74627,Dispatched,2025-03-01,21:21:00
67643,DELIVERED,2025-08-05,02:13:00
76092,Dispatched,2020-09-04,05:03:00
50784,Dispatched,2024-08-13,21:55:00
24274,DELIVERED,2025-05-06,08:13:00
69377,Delivered,2020-11-02,00:34:00
24450,Dispatched,2024-03-28,22:03:00
88407,Out for Delivery,2020-06-28,10:35:00
54248,In Transit,2023-04-04,15:21:00
78105,Out for Delivery,2023-04-12,10:54:00
94164,in transit,2020-12-05,16:13:00
86981,Delivered,2022-02-05,14:01:00
5820,DELIVERED,2021-10-03,02:13:00
97242,Dispatched,2025-04-20,00:11:00
28726,In Transit,2021-04-15,05:47:00
19893,order placed,2020-06-04,15:10:00
1281,Delayed,2025-12-13,01:15:00
92135,order placed,2024-10-26,19:04:00
9986,order placed,2024-01-24,15:26:00
59443,In Transit,2023-11-07,19:59:00
19871,Delivered,2025-09-10,03:14:00
40231,Out for Delivery,2022-12-12,18:35:00
80524,Delayed,2021-07-21,21:32:00
52171,order placed,2024-04-12,11:53:00
83297,Order Placed,2023-06-28,12:35:00
34976,Delayed,2024-04-11,00:04:00
14611,Delivered,2023-01-16,05:33:00
54296,Dispatched,2022-01-17,18:53:00
12620,in transit,2022-02-27,15:02:00
63486,In Transit,2022-09-23,03:44:00
71180,DELIVERED,2024-09-22,16:58:00
85158,Delayed,2021-01-09,14:06:00
13417,in transit,2022-06-09,12:41:00
26825,Delivered,2025-11-20,06:52:00
61854,Delivered,2020-04-04,06:39:00
54150,in transit,2023-10-31,19:58:00
43361,Dispatched,2020-10-05,12:42:00
3232,order placed,2020-03-02,21:02:00
23263,Delivered,2020-10-13,01:07:00
90134,order placed,2022-07-21,09:58:00
80011,in transit,2025-11-06,10:00:00
55523,DELIVERED,2022-04-25,05:14:00
57175,Out for Delivery,2022-04-12,10:09:00
67984,Delayed,2020-04-03,16:52:00
91167,In Transit,2023-01-19,04:49:00
86395,Delayed,2025-12-28,03:20:00
66083,In Transit,2020-10-06,15:07:00
61653,Delivered,2023-06-23,15:06:00
20291,DELIVERED,2020-07-21,09:42:00
26136,Delivered,2023-11-29,07:15:00
16439,Order Placed,2025-01-21,02:21:00
28440,order placed,2021-10-18,17:29:00
74505,Order Placed,2022-05-04,01:30:00
69604,Out for Delivery,2024-07-10,15:28:00
10101,Dispatched,2025-10-26,06:55:00
15163,Dispatched,2025-06-28,22:36:00
91804,Out for Delivery,2023-11-30,11:18:00
22846,Out for Delivery,2023-02-24,22:01:00
27493,Out for Delivery,2024-07-14,03:31:00
25974,Out for Delivery,2025-11-04,09:05:00
16265,Dispatched,2025-10-30,05:03:00
97137,Order Placed,2024-11-22,16:10:00
32334,in transit,2025-12-24,13:18:00
30513,Delayed,2024-07-28,17:32:00
21770,Delayed,2025-09-13,13:46:00
96075,In Transit,2023-06-03,09:23:00
2083,Delivered,2020-05-12,01:05:00
36070,Delayed,2023-10-07,03:59:00
97918,Order Placed,2020-09-02,04:23:00
10967,Dispatched,2021-07-27,00:48:00
13364,in transit,2024-02-23,05:48:00
79989,Delayed,2025-01-12,12:22:00
5185,Dispatched,2025-04-06,20:57:00
21736,Out for Delivery,2022-04-24,10:02:00
77832,Delivered,2020-11-26,06:38:00
71388,Dispatched,2021-10-13,07:22:00
164,Order Placed,2021-02-15,01:55:00
94791,Delivered,2022-02-10,06:57:00
44474,order placed,2021-05-28,03:31:00
37440,DELIVERED,2023-11-11,14:30:00
75780,in transit,2025-04-25,10:43:00
67264,Delayed,2020-02-14,02:45:00
77106,Out for Delivery,2020-12-13,06:24:00
56426,in transit,2020-11-22,03:56:00
78934,Dispatched,2020-07-17,10:56:00
7597,DELIVERED,2020-01-17,23:53:00
84906,Out for Delivery,2025-12-23,07:18:00
38506,in transit,2021-01-30,23:02:00
24983,Order Placed,2022-12-26,13:14:00
65931,Order Placed,2023-01-30,08:25:00
34310,In Transit,2024-04-04,04:56:00
19242,Dispatched,2024-01-29,11:03:00
11995,DELIVERED,2021-03-29,14:10:00
49039,Order Placed,2022-02-06,07:40:00
36144,DELIVERED,2025-01-28,14:22:00
42843,In Transit,2021-11-25,13:12:00
10718,Delivered,2022-12-08,02:16:00
63022,Order Placed,2021-08-21,14:54:00
61289,order placed,2021-04-18,09:34:00
53571,order placed,2024-09-15,19:06:00
36652,Order Placed,2024-03-04,23:00:00
20726,Order Placed,2024-05-17,04:07:00
57517,Delayed,2021-12-21,12:37:00
52572,Out for Delivery,2020-06-11,16:19:00
4506,Dispatched,2022-03-14,05:50:00
2865,order placed,2022-05-17,06:15:00
